"hypothesis","sample","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","POP_V2","POP_V3","POP_Q","POP_KA","POP_CL","POP_CLCLCR","POP_CLBR","IIV_V2","IIV_CL_IIV_V2","IIV_CL","IIV_V3","IIV_KA","sigma","sePOP_V2","sePOP_V3","sePOP_Q","sePOP_KA","sePOP_CL","sePOP_CLCLCR","sePOP_CLBR","seIIV_V2","seIIV_CL_IIV_V2","seIIV_CL","seIIV_V3","seIIV_KA","sesigma","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13"
simulation,112,112,1,1,1,1,1,0,0,0,0,0,0,0,3.4,4.36256,FOCE_I,NA,227.62,265.8,-16633.099878845784,600.882,1898.18,22.7623,0.722911,20.0979,0.000835567,0.0697331,0.0462413,0.051832,0.296133,0.0286713,0.0379397,0.0100412,11.6245,43.6139,0.405909,0.025973,0.467562,0.000510454,0.0267805,0.0067445,0.0101527,0.0171652,0.0106857,0.0151504,0.000317323,NA,NA,NA,NA,NA,0.384716,0.505086,0.695432,0.763567,0.847165,0.880225,0.937822,0.985715,1.05071,1.23593,1.42268,1.6126,1.67835
simulation,113,113,1,1,1,1,1,0,0,0,0,0,0,0,3.6,3.73622,FOCE_I,NA,215.41,272.45,-16694.305905482830,647.633,1912.83,22.4174,0.786131,18.9402,0.00182277,0.113609,0.0438037,0.019118,0.309074,0.0489489,0.0307061,0.00998728,13.0654,47.1157,0.399454,0.0284437,0.461445,0.000578706,0.036453,0.00704945,0.0105936,0.0178735,0.0125554,0.0124112,0.000315397,NA,NA,NA,NA,NA,0.442981,0.626,0.668082,0.762536,0.845669,0.8612,0.944915,0.976837,1.08213,1.20906,1.38696,1.53856,1.65508
simulation,114,114,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.88386,FOCE_I,NA,207,265.08,-16306.043956638099,634.697,1918.6,23.452,0.747665,19.652,0.000665092,0.0500341,0.0407928,0.0394259,0.333769,0.0320767,0.047607,0.0100771,12.3519,44.3745,0.421407,0.0290222,0.487453,0.000588966,0.026987,0.00652744,0.0106278,0.019323,0.0139996,0.0162734,0.000327095,NA,NA,NA,NA,NA,0.421359,0.545507,0.676092,0.71469,0.850043,0.892046,0.95079,0.978549,1.04095,1.33045,1.42797,1.53506,1.6365
simulation,115,115,1,1,1,1,1,0,0,0,0,0,0,0,3.5,3.92792,FOCE_I,NA,218.42,260.71,-16732.703108456051,625.816,1854.46,22.4008,0.760272,18.897,0.00221025,0.103824,0.0360647,0.0300124,0.299011,0.0159471,0.0292721,0.0102119,11.8829,38.8493,0.417938,0.0261432,0.443876,0.000566889,0.0332123,0.00604244,0.00916783,0.01722,0.00628683,0.0145109,0.000317238,NA,NA,NA,NA,NA,0.406836,0.6245,0.681428,0.77879,0.868994,0.911705,0.943452,1.02204,1.07231,1.17173,1.44326,1.47693,1.59802
simulation,116,116,1,1,1,1,1,0,0,0,0,0,0,0,3.4,3.2982,FOCE_I,NA,227.86,278.05,-16536.469990852602,631.467,1950.98,23.0121,0.732799,19.5263,0.00137375,0.118639,0.0424857,0.0213799,0.290777,0.0186484,0.0437689,0.0103938,12.3562,42.9118,0.419536,0.0270177,0.45579,0.000545413,0.033409,0.00661062,0.0094718,0.0169251,0.00763888,0.016237,0.000322358,NA,NA,NA,NA,NA,0.480735,0.649067,0.667674,0.81245,0.834303,0.851489,0.95813,1.00706,1.09808,1.17274,1.38599,1.49672,1.58556
simulation,117,117,1,1,1,1,1,0,0,0,0,0,0,0,3.8,3.86902,FOCE_I,NA,207.63,268.38,-17207.563131302893,607.43,1900.71,22.7015,0.767318,20.46,0.00188328,0.0764988,0.0470656,0.0406261,0.301119,0.0196979,0.0336787,0.00979247,11.7813,41.4079,0.410382,0.0262072,0.487252,0.000571312,0.03201,0.00673692,0.00954208,0.0174079,0.00850557,0.0144318,0.000308665,NA,NA,NA,NA,NA,0.414257,0.568108,0.679655,0.760294,0.800856,0.828013,0.963263,0.973947,1.04919,1.26586,1.53283,1.56096,1.60277
simulation,118,118,1,1,1,1,1,0,0,0,0,0,0,0,3.9,3.09193,FOCE_I,NA,301.21,282.14,-16740.827335641719,622.245,1906.59,22.6962,0.749662,19.1342,0.00111644,0.0877564,0.0447674,0.0166619,0.290019,0.0404326,0.0306972,0.00960466,12.2208,46.0235,0.417169,0.0257182,0.443484,0.000562077,0.031867,0.00684245,0.0104039,0.0169235,0.0121411,0.0133405,0.00030422,NA,NA,NA,NA,NA,0.507754,0.630609,0.671117,0.775267,0.864901,0.933477,0.980606,1.0638,1.07449,1.24782,1.31114,1.36909,1.56994
simulation,119,119,1,1,1,1,1,0,0,0,0,0,0,0,3,3.19643,FOCE_I,NA,208.05,279.39,-16737.291414334533,634.109,1938.21,23.073,0.756449,20.3704,0.00183906,0.124873,0.0435683,0.0233485,0.31497,0.0360249,0.0129913,0.0102617,12.2093,46.9005,0.395928,0.0241054,0.493574,0.000570444,0.0353893,0.00652715,0.00993163,0.0182432,0.0112578,0.0108594,0.000321978,NA,NA,NA,NA,NA,0.481925,0.65411,0.686922,0.768588,0.853389,0.907549,0.953835,0.991174,1.08075,1.2254,1.37229,1.48362,1.54044
simulation,120,120,1,1,1,1,1,0,0,0,0,0,0,0,4.1,3.81326,FOCE_I,NA,243.68,263.99,-17046.349750647867,633.051,1954.1,23.9481,0.708019,19.5904,0.00159037,0.1491,0.0312828,0.0268403,0.305291,0.0167548,0.0222902,0.00992439,11.5402,40.0602,0.41733,0.0232874,0.4664,0.000564254,0.0354847,0.00518856,0.00911732,0.0175807,0.00711458,0.0106465,0.00030646,NA,NA,NA,NA,NA,0.424254,0.658541,0.664768,0.762514,0.852062,0.858635,0.966892,0.984396,1.06909,1.25196,1.36684,1.52225,1.61779
simulation,121,121,1,1,1,1,1,0,0,0,0,0,0,0,3.8,3.67743,FOCE_I,NA,249.02,269.92,-16890.569301227079,616.902,1825.11,23.5373,0.724419,19.7507,0.000862576,0.0689512,0.0282568,0.00805719,0.292298,0.0242003,0.0191594,0.00965889,10.9742,40.5346,0.430062,0.0226504,0.462364,0.000562566,0.0293869,0.00513133,0.00926252,0.0168884,0.00818502,0.0109368,0.000301537,NA,NA,NA,NA,NA,0.447856,0.639477,0.695896,0.763599,0.817285,0.868429,0.972163,1.01245,1.12629,1.208,1.29313,1.50846,1.64696
